iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
AFG,Asia,Afghanistan,24/02/20,1,1,,,,,0.025,0.025,,,,,,1803.987,597.029,9.59,37.746,0.5,64.83,0.511
AFG,Asia,Afghanistan,25/02/20,1,0,,,,,0.025,0,,,,,,1803.987,597.029,9.59,37.746,0.5,64.83,0.511
AFG,Asia,Afghanistan,26/02/20,1,0,,,,,0.025,0,,,,,,1803.987,597.029,9.59,37.746,0.5,64.83,0.511
AFG,Asia,Afghanistan,27/02/20,1,0,,,,,0.025,0,,,,,,1803.987,597.029,9.59,37.746,0.5,64.83,0.511
AFG,Asia,Afghanistan,28/02/20,1,0,,,,,0.025,0,,,,,,1803.987,597.029,9.59,37.746,0.5,64.83,0.511
AFG,Asia,Afghanistan,29/02/20,1,0,0.143,,,0,0.025,0,0.004,,,0,,1803.987,597.029,9.59,37.746,0.5,64.83,0.511
AFG,Asia,Afghanistan,01/03/20,1,0,0.143,,,0,0.025,0,0.004,,,0,,1803.987,597.029,9.59,37.746,0.5,64.83,0.511
AFG,Asia,Afghanistan,02/03/20,1,0,0,,,0,0.025,0,0,,,0,,1803.987,597.029,9.59,37.746,0.5,64.83,0.511
AFG,Asia,Afghanistan,03/03/20,2,1,0.143,,,0,0.05,0.025,0.004,,,0,,1803.987,597.029,9.59,37.746,0.5,64.83,0.511
AFG,Asia,Afghanistan,04/03/20,4,2,0.429,,,0,0.1,0.05,0.011,,,0,,1803.987,597.029,9.59,37.746,0.5,64.83,0.511
AFG,Asia,Afghanistan,05/03/20,4,0,0.429,,,0,0.1,0,0.011,,,0,,1803.987,597.029,9.59,37.746,0.5,64.83,0.511
AFG,Asia,Afghanistan,06/03/20,4,0,0.429,,,0,0.1,0,0.011,,,0,,1803.987,597.029,9.59,37.746,0.5,64.83,0.511
AFG,Asia,Afghanistan,07/03/20,4,0,0.429,,,0,0.1,0,0.011,,,0,,1803.987,597.029,9.59,37.746,0.5,64.83,0.511
AFG,Asia,Afghanistan,08/03/20,5,1,0.571,,,0,0.126,0.025,0.014,,,0,,1803.987,597.029,9.59,37.746,0.5,64.83,0.511
AFG,Asia,Afghanistan,09/03/20,7,2,0.857,,,0,0.176,0.05,0.022,,,0,,1803.987,597.029,9.59,37.746,0.5,64.83,0.511
AFG,Asia,Afghanistan,10/03/20,8,1,0.857,,,0,0.201,0.025,0.022,,,0,,1803.987,597.029,9.59,37.746,0.5,64.83,0.511
AFG,Asia,Afghanistan,11/03/20,11,3,1,,,0,0.276,0.075,0.025,,,0,,1803.987,597.029,9.59,37.746,0.5,64.83,0.511
AFG,Asia,Afghanistan,12/03/20,12,1,1.143,,,0,0.301,0.025,0.029,,,0,,1803.987,597.029,9.59,37.746,0.5,64.83,0.511
AFG,Asia,Afghanistan,13/03/20,13,1,1.286,,,0,0.326,0.025,0.032,,,0,,1803.987,597.029,9.59,37.746,0.5,64.83,0.511
AFG,Asia,Afghanistan,14/03/20,15,2,1.571,,,0,0.377,0.05,0.039,,,0,,1803.987,597.029,9.59,37.746,0.5,64.83,0.511
AFG,Asia,Afghanistan,15/03/20,16,1,1.571,,,0,0.402,0.025,0.039,,,0,,1803.987,597.029,9.59,37.746,0.5,64.83,0.511
AFG,Asia,Afghanistan,16/03/20,18,2,1.571,,,0,0.452,0.05,0.039,,,0,,1803.987,597.029,9.59,37.746,0.5,64.83,0.511
AFG,Asia,Afghanistan,17/03/20,20,2,1.714,,,0,0.502,0.05,0.043,,,0,,1803.987,597.029,9.59,37.746,0.5,64.83,0.511
AFG,Asia,Afghanistan,18/03/20,24,4,1.857,,,0,0.602,0.1,0.047,,,0,,1803.987,597.029,9.59,37.746,0.5,64.83,0.511
AFG,Asia,Afghanistan,19/03/20,25,1,1.857,,,0,0.628,0.025,0.047,,,0,,1803.987,597.029,9.59,37.746,0.5,64.83,0.511
AFG,Asia,Afghanistan,20/03/20,29,4,2.286,,,0,0.728,0.1,0.057,,,0,,1803.987,597.029,9.59,37.746,0.5,64.83,0.511
AFG,Asia,Afghanistan,21/03/20,30,1,2.143,,,0,0.753,0.025,0.054,,,0,,1803.987,597.029,9.59,37.746,0.5,64.83,0.511
AFG,Asia,Afghanistan,22/03/20,34,4,2.571,1,1,0.143,0.854,0.1,0.065,0.025,0.025,0.004,,1803.987,597.029,9.59,37.746,0.5,64.83,0.511
AFG,Asia,Afghanistan,23/03/20,41,7,3.286,1,0,0.143,1.029,0.176,0.082,0.025,0,0.004,,1803.987,597.029,9.59,37.746,0.5,64.83,0.511
AFG,Asia,Afghanistan,24/03/20,43,2,3.286,1,0,0.143,1.079,0.05,0.082,0.025,0,0.004,,1803.987,597.029,9.59,37.746,0.5,64.83,0.511
AFG,Asia,Afghanistan,25/03/20,76,33,7.429,2,1,0.286,1.908,0.828,0.186,0.05,0.025,0.007,,1803.987,597.029,9.59,37.746,0.5,64.83,0.511
AFG,Asia,Afghanistan,26/03/20,80,4,7.857,3,1,0.429,2.008,0.1,0.197,0.075,0.025,0.011,,1803.987,597.029,9.59,37.746,0.5,64.83,0.511
AFG,Asia,Afghanistan,27/03/20,91,11,8.857,3,0,0.429,2.284,0.276,0.222,0.075,0,0.011,,1803.987,597.029,9.59,37.746,0.5,64.83,0.511
AFG,Asia,Afghanistan,28/03/20,107,16,11,4,1,0.571,2.686,0.402,0.276,0.1,0.025,0.014,,1803.987,597.029,9.59,37.746,0.5,64.83,0.511
AFG,Asia,Afghanistan,29/03/20,118,11,12,4,0,0.429,2.962,0.276,0.301,0.1,0,0.011,1.47,1803.987,597.029,9.59,37.746,0.5,64.83,0.511
AFG,Asia,Afghanistan,30/03/20,146,28,15,4,0,0.429,3.665,0.703,0.377,0.1,0,0.011,1.47,1803.987,597.029,9.59,37.746,0.5,64.83,0.511
AFG,Asia,Afghanistan,31/03/20,175,29,18.857,4,0,0.429,4.393,0.728,0.473,0.1,0,0.011,1.47,1803.987,597.029,9.59,37.746,0.5,64.83,0.511
AFG,Asia,Afghanistan,01/04/20,197,22,17.286,4,0,0.286,4.945,0.552,0.434,0.1,0,0.007,1.47,1803.987,597.029,9.59,37.746,0.5,64.83,0.511
AFG,Asia,Afghanistan,02/04/20,240,43,22.857,4,0,0.143,6.025,1.079,0.574,0.1,0,0.004,1.47,1803.987,597.029,9.59,37.746,0.5,64.83,0.511
AFG,Asia,Afghanistan,03/04/20,275,35,26.286,8,4,0.714,6.903,0.879,0.66,0.201,0.1,0.018,1.46,1803.987,597.029,9.59,37.746,0.5,64.83,0.511
AFG,Asia,Afghanistan,04/04/20,300,25,27.571,10,2,0.857,7.531,0.628,0.692,0.251,0.05,0.022,1.45,1803.987,597.029,9.59,37.746,0.5,64.83,0.511
AFG,Asia,Afghanistan,05/04/20,338,38,31.429,12,2,1.143,8.485,0.954,0.789,0.301,0.05,0.029,1.44,1803.987,597.029,9.59,37.746,0.5,64.83,0.511
AFG,Asia,Afghanistan,06/04/20,368,30,31.714,15,3,1.571,9.238,0.753,0.796,0.377,0.075,0.039,1.42,1803.987,597.029,9.59,37.746,0.5,64.83,0.511
